Id	Globisporangium sylvaticum	Globisporangium heterothallicum	Pythium monospermum	Pythium arrhenomanes	Pythium aff._hydnosporum	Globisporangium ultimum_var._ultimum	Globisporangium rostratifingens	Globisporangium apiculatum	Globisporangium attrantheridium	Globisporangium intermedium	Pythium sp._nov
year2021_soil_P10_adaptertrimmed_Pythium_R1.fastq	0.032191265060241	0.00489457831325301	0.237010542168675	0	0.192959337349398	0	0.00338855421686747	0	0.526355421686747	0	0
year2021_soil_P11_adaptertrimmed_Pythium_R1.fastq	0.0543842836607571	0	0	0	0.216818399616675	0.470531863919502	0	0	0.18471490177288	0	0.0218016291327264
year2021_soil_P12_adaptertrimmed_Pythium_R1.fastq	0.794117647058823	0	0	0	0	0	0	0	0.0514705882352941	0	0.139705882352941
year2021_soil_P13_adaptertrimmed_Pythium_R1.fastq	0.00854179377669311	0.12568639414277	0	0	0	0	0	0	0.355704697986577	0	0
year2021_soil_P14_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	0	0.0556962025316456
year2021_soil_P15_adaptertrimmed_Pythium_R1.fastq	0.0150310988251555	0.215618521078093	0	0	0.329129232895646	0	0.00708362128541811	0.111610228058051	0.294920525224603	0.0184865238424326	0
year2021_soil_P16_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0.146835443037975	0.174683544303797	0	0	0	0	0.678481012658228
year2021_soil_P17_adaptertrimmed_Pythium_R1.fastq	0.0464252553389044	0.207985143918292	0.171773444753946	0	0.00974930362116992	0	0.010677808727948	0.214484679665738	0.303621169916435	0.0352831940575673	0
year2021_soil_P18_adaptertrimmed_Pythium_R1.fastq	0.0769230769230769	0	0	0	0	0	0	0.440071556350626	0.343470483005367	0.13953488372093	0
year2021_soil_P19_adaptertrimmed_Pythium_R1.fastq	0.0638796639968744	0.002539558507521	0	0.558116819691346	0.00410236374291854	0.192225043953897	0	0.00214885719867162	0.0373119749951162	0	0
year2021_soil_P20_adaptertrimmed_Pythium_R1.fastq	0.194244604316547	0.384892086330935	0	0	0.266187050359712	0	0.039568345323741	0	0.0539568345323741	0	0
year2021_soil_P21_adaptertrimmed_Pythium_R1.fastq	0.259259259259259	0	0	0	0	0	0	0	0.181818181818182	0.0841750841750842	0
year2021_soil_P22_adaptertrimmed_Pythium_R1.fastq	0.023183120604324	0.276634540244855	0	0	0.0161500390726752	0.0565251367543631	0	0.0114613180515759	0.568116697056525	0.0197968220890857	0
year2021_soil_P23_adaptertrimmed_Pythium_R1.fastq	0.165915238954013	0	0	0	0.757439134355275	0	0	0	0.0766456266907124	0	0
year2021_soil_P24_adaptertrimmed_Pythium_R1.fastq	0	0.0347125798389336	0	0.720910858094974	0.117745070813663	0.0505415162454874	0	0.067481255206887	0	0.00694251596778673	0
year2021_soil_P25_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	1	0
year2021_soil_P26_adaptertrimmed_Pythium_R1.fastq	0	0.514020393299344	0.150218499635834	0	0.00145666423889294	0	0.00782957028404953	0	0.31536780772032	0	0
year2021_soil_P27_adaptertrimmed_Pythium_R1.fastq	0.172764227642276	0.258130081300813	0	0.142276422764228	0.290650406504065	0	0.024390243902439	0	0	0.0203252032520325	0
year2021_soil_P28_adaptertrimmed_Pythium_R1.fastq	0	0.0813008130081301	0	0	0	0	0	0	0.235264227642276	0	0.021849593495935
year2021_soil_P29_adaptertrimmed_Pythium_R1.fastq	0.0137857900318134	0	0	0.0784729586426299	0.0767055496641923	0.00883704489218805	0	0	0.330151997172146	0	0
year2021_soil_P30_adaptertrimmed_Pythium_R1.fastq	0	0.313773631230052	0	0.0775840903510926	0.232997790326541	0	0	0	0.126933464276946	0	0
year2021_soil_P31_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0.0662251655629139	0	0	0	0.781456953642384
