Id	Globisporangium sylvaticum	Globisporangium spiculum	Globisporangium mamillatum	Globisporangium paroecandrum	Globisporangium irregulare	Globisporangium spinosum	Globisporangium heterothallicum	Globisporangium glomeratum	Globisporangium orthogonon	Globisporangium nunn	Globisporangium nodosum	Globisporangium perplexum	Phytopythium boreale	Phytopythium litorale	Phytopythium vexans	Globisporangium emineosum	Globisporangium aff._polymastum	Globisporangium jasmonium	Pythium insidiosum	Pythium monospermum	Pythium aphanidermatum	Pythium pectinolyticum	Pythium vanterpoolii	Pythium tracheiphilum	Pythium conidiophorum	Pythium aff._periilum	Pythium arrhenomanes	Pythium aff._volutum	Pythium volutum	Pythium inflatum	Pythium folliculosum	Pythium angustatum	Pythium aff._torulosum	Pythium catenulatum	Pythium afertile	Pythium kashmirense	Pythium pyrilobum	Pythium pachycaule	Pythium dissimile	Pythium chondricola	Pythium adhaerens	Pythium myriotylum	Pythium grandisporangium	Pythium lycopersicum	Pythium acanthicum	Pythium aff._hydnosporum	Pythium periplocum	Globisporangium nagaii	Globisporangium okanoganense	Globisporangium ultimum_var._ultimum	Globisporangium ultimum	Globisporangium camurandrum	Globisporangium rostratifingens	Globisporangium longandrum	Globisporangium acrogynum	Globisporangium carolinianum	Globisporangium papilogynum	Globisporangium erinaceus	Globisporangium radiosum	Globisporangium apiculatum	Globisporangium middletonii	Globisporangium rhizosaccharum	Globisporangium parvum	Globisporangium minus	Globisporangium aff._pleroticum	Globisporangium pleroticum	Globisporangium takayamanum	Globisporangium attrantheridium	Globisporangium intermedium	Pythium sp._nov	Globisporangium debaryanum	Globisporangium lucens	Globisporangium terrestris	Location	Country	Year	Compartment	Soilweight
year2019_soil_P37_adaptertrimmed_Pythium_R1.fastq	0.00819672131147541	0	0	0	0	0	0.64207650273224	0	0	0	0	0	0.0974499089253188	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0182149362477231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191256830601093	0	0	0	0.0127504553734062	0	0	0	0	0	0.0683060109289618	0	0	0	0	0	0	0	0	0	0.0109289617486339	0	0.0956284153005464	0	0.0273224043715847	0	0	0	P19_L37	Hungary	2019	Soil	heavy
year2019_soil_P38_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0.099935107073329	0	0.199221284879948	0.232641142115509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045425048669695	0.158663205710578	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00389357560025957	0	0	0	0.00227125243348475	0	0	0	0.102530824140169	0	0.0824140168721609	0	0	0	0.111940298507463	0	0	0	0.00194678780012979	0	0	0	0	0	0	0	0	0	0	0	0	0	P19_L38	Hungary	2019	Soil	heavy
year2019_soil_P39_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0.165671641791045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0477611940298507	0	0	0	0.0149253731343284	0	0	0	0.771641791044776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P19_L39	Hungary	2019	Soil	medium
year2019_soil_P4_adaptertrimmed_Pythium_R1.fastq	0.051237766263673	0	0	0	0	0	0.134715025906736	0	0	0	0	0	0	0	0	0	0	0	0	0.238341968911917	0	0	0	0	0	0	0	0	0.43062751871042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145077720207254	0	0	0	0	0	P19_L04	France	2019	Soil	medium
year2019_soil_P40_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0435267857142857	0	0	0	0	0	0	0.0078125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163504464285714	0	0	0	0	0	0	0	0.0251116071428571	0	0	0	0	0	0.0245535714285714	0	0	0	0.160714285714286	0	0.129464285714286	0	0.362723214285714	0.0825892857142857	0	0	0	0	P19_L40	Hungary	2019	Soil	medium
year2019_soil_P41_adaptertrimmed_Pythium_R1.fastq	0.00710563713879678	0	0	0	0	0	0.0194220748460445	0	0	0.00426338228327807	0	0	0	0	0	0	0	0	0	0	0.0288962576977736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307910942681194	0	0	0	0.517764092846992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039791567977262	0.0701089531027949	0.281856939838939	0	0	0	P19_L41	Hungary	2019	Soil	medium
year2019_soil_P42_adaptertrimmed_Pythium_R1.fastq	0.00803120697567692	0	0	0	0	0	0.465580541532813	0	0	0	0	0	0	0	0	0	0	0	0	0.0810004589261129	0	0	0	0	0	0	0.0126204681046352	0	0	0	0	0	0.0369435520881138	0	0	0	0	0	0	0	0	0.0532354290959156	0	0	0	0.0335016062413951	0	0	0	0.0018357044515833	0	0	0	0.00275355667737494	0	0	0	0	0	0.00137677833868747	0	0	0	0	0	0.010325837540156	0	0.280862781092244	0.0119320789352914	0	0	0	0	P19_L42	Austria	2019	Soil	medium
year2019_soil_P43_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.291984732824427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0648854961832061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643129770992366	0	0	0	0	0	P19_L43	Austria	2019	Soil	medium
year2019_soil_P44_adaptertrimmed_Pythium_R1.fastq	0.0530448104174646	0	0	0	0	0	0.41976254308694	0	0	0	0.000957487552661815	0	0	0	0	0	0	0	0	0.446955189582535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00172347759479127	0	0	0	0	0	0.000574492531597089	0	0.00574492531597089	0.0088088854844887	0	0	0	0	0	0	0	0	0	0	0	0	0.0036384527001149	0	0.0446189199540406	0.0141708157793949	0	0	0	0	P19_L44	Switzerland	2019	Soil	light
year2019_soil_P45_adaptertrimmed_Pythium_R1.fastq	0.0608294930875576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63778801843318	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03963133640553	0.0617511520737327	0	0	0	0	P19_L45	Switzerland	2019	Soil	medium
